,school,overview,review title,review star,Instructors,Curriculum,Job Assistance,Overall Experience,Comments,pros,cons
0,WeCloudData,4.8/5,Full Time DS Bootcamp Review,5,4,5,3,5,Overall a great program especially for career switchers. WCD consolidated a lot of important instruction material in one place to build up technical and presentation skills for aspiring DA/DS professionals. Learning curve is steeper for those who come from non-technical backgrounds so the pre-bootcamp material is essential to review prior to the actual start of the bootcamp program. ,"- Knowledgeable and patient instructors and TAs
- Relevant material taught throughout course
- Hands-on approach to instruction helped expedite learning of material
- Comprehensive advice for resume-building, job search tips, etc.","- Learning experience felt more individual rather than collaborative, which may largely be due to the fact that this program was online. 
- Some challenges coordinating meeting times with career mentor and getting responses to follow-up...See more"
1,WeCloudData,4.8/5,A good bootcamp! its worth to make the decision,5,5,5,5,5,"I attended the data and business analytics bootcamp in early 2022 and now I have got my dream job! I am glad that I made this decision of joining the course. The tutor are nice and they are helpful even after graduated. The content included python, SQL, Tableau, power BI and excel, the videos are recoreded and can be reviewed unlimited time. Overall it was a good experience, I would definetely reccomand weclouddata to anyone.","Great support, nice tutor, practical content",Time were a bit tight to learn everything
2,WeCloudData,4.8/5,Best DS BootCamp in Canada,5,5,5,5,5,"I arrived in Canada with a Bachelor's degree in Industrial engineering with no prior experience in analytics and a low English level. 
 At WeCloudData, every instructor, TA, and mentor are all responsible, patient, and helpful, they always would love to share their experience and useful resources. 
During the boot camp, you have the chance to work on and present projects that you are passionate about, using all the skills that you learned and really making them yours.
After the course, I was...See more",Really straight forward wth projects that helps you to practise your new skillset.,Pretty Intense so it will be better if you are not working full time.
3,WeCloudData,4.8/5,Best DS in Canada,5,5,5,5,5,"I arrived in Canada with a Bachelor's degree in Industrial engineering with no prior experience in analytics and a low English level. 
 At WeCloudData, every instructor, TA, and mentor are all responsible, patient, and helpful, they always would love to share their experience and useful resources. 
During the boot camp, you have the chance to work on and present projects that you are passionate about, using all the skills that you learned and really making them yours.
After the course, I was...See more","Really straight forward, with projects that help you to practise your new skills","Intense, So It will be better if you don't have a full time job during the bootcamp. "
4,WeCloudData,4.8/5,Great program with helpful career guidance,5,5,4,5,5,"I attended WeCloudData Applied BI program in 2022 Jan and finished in early April. After the course I was assigned a mentor helping with my resume and interviews, from June to until I landed a DA position in September. It was a very comprehensive program, covering different business industries knowledge and required technical skills. 

Every instructor, TA and mentor at WeCloudData are all responsible and helpful, they always would love to share their experience. I'm very glad that I made the...See more","Instructors/mentors/TAs are nice. My mentor Leno was very responsible. 
Also they provided online programs",A bit intensive or not that friendly for full time worker but i guess that's the efforts you must make if you choose so
5,WeCloudData,4.8/5,Great program with helpful career guidance,5,5,4,5,5,"I attended WeCloudData Applied BI program in 2022 Jan and finished in early April. After the course I was assigned a mentor helping with my resume and interviews, from June to until I landed a DA position in September. It was a very comprehensive program, covering different business industries knowledge and required technical skills. 

Every instructor, TA and mentor at WeCloudData are all responsible and helpful, they always would love to share their experience. I'm very glad that I made the...See more","Instructors/mentors/TAs are nice. My mentor Leno was very responsible. 
They provided online programs.",A bit intensive or not that friendly for full time workers but i guess that's the efforts you must make if you choose so
6,WeCloudData,4.8/5,Data Engineering boot camp - overall great experience,5,4,5,5,5,Prior to joining the WeCloudData Data Engineering boot camp I already had some Data Engineering experience in previous jobs and a master's degree in big data and machine learning. This program provided me with the opportunity to enhance my data engineering background and helped me land a Senior Data Engineer role in AI operations. I am really glad about my decision of joining the program.,"Great learning materials. 
Valuable advice about best practices.
",The program is a bit challenging for beginners. 
7,WeCloudData,4.8/5,Data Engineering boot camp - great experience,5,4,5,5,5,Prior to joining the WeCloudData Data Engineering boot camp I already had some Data Engineering experience in previous jobs and a master's degree in big data and machine learning. This program provided me with the opportunity to enhance my data engineering background and helped me land a Senior Data Engineer role in AI operations. I am really glad about my decision of joining the program.,"Great content and documentation. 
Instructors provided valuable advice in real work scenarios. I learned both theory and best practices.
The program also provided me a great career support.",The program is more suitable for students with some background in programming and computer science. Beginners need to spend more time getting familiar with the terminologies.   
8,WeCloudData,4.8/5,Data Science Bootcamp,5,5,5,5,5,"A great program!  The course content was amazing, well-designed and organized from pre-work courses to milestone assignments and real-life projects. The WeClouddata team all were supportive and helped me to expand my knowledge in Data Science program. Finally, I could find my favorite job I was looking for.","Great program, team",Nothing really. 
9,WeCloudData,4.8/5,Great Overall Experience,5,5,4,5,5,"Prior to joining the WeCloudData boot camp I already had an extensive Data Science experience both through self-learning as well as thorough my experience in previous jobs. After relocating to Canada last year, I decided to build a strong data science network and the best option I came across was enrolling in WeCloudData Data Science and Big Data Program. The program not only connected me with the talented Data Science community in Toronto but also provided me with opportunity to work on some...See more","Client Projects
Networking Opportunities
Knowledgeable and Supportive Instructors and TA's",Big Data portion of the course was a bit rushed
